TimeStamp,CarPosition.x,CarPosition.y,CarPosition.z,LocalCarPosition.x,LocalCarPosition.y,LocalCarPosition.z,CarRotation.x,CarRotation.y,CarRotation.z,CarRotationQuaternion.x,CarRotationQuaternion.y,CarRotationQuaternion.z,CarRotationQuaternion.w,path_segment_label
1620730210.628305,-45.42486572265625,211.36424255371094,1204.620849609375,-717.4486083984375,-131.59999084472656,-411.9444274902344,0.6304404735565186,223.80418395996094,0.05024237185716629,0.0016454216092824936,-0.9278094172477722,0.00526805967092514,0.3730137348175049,2
1620730210.6396115,-45.42486572265625,211.36424255371094,1204.620849609375,-717.4486083984375,-131.59999084472656,-411.9444274902344,0.6304404735565186,223.80418395996094,0.05024237185716629,0.0016454216092824936,-0.9278094172477722,0.00526805967092514,0.3730137348175049,2
1620730210.6522472,-45.61614990234375,211.35946655273438,1204.42236328125,-717.2393798828125,-131.59005737304688,-412.1236572265625,0.6584540605545044,223.74560546875,0.05139007046818733,0.0017245076596736908,-0.9279987812042236,0.005499493330717087,0.3725387454032898,2
1620730210.66403,-45.806182861328125,211.35467529296875,1204.2249755859375,-717.03125,-131.5802459716797,-412.30169677734375,0.6877180337905884,223.6876220703125,0.052786216139793396,0.0018054349347949028,-0.9281858205795288,0.005741935223340988,0.3720683753490448,2
1620730210.6752822,-45.806182861328125,211.35467529296875,1204.2249755859375,-717.03125,-131.5802459716797,-412.30169677734375,0.6877180337905884,223.6876220703125,0.052786216139793396,0.0018054349347949028,-0.9281858205795288,0.005741935223340988,0.3720683753490448,2
1620730210.688426,-45.997161865234375,211.3497772216797,1204.026123046875,-716.8215942382812,-131.57046508789062,-412.4805908203125,0.707253098487854,223.6298828125,0.05375203862786293,0.0018580658361315727,-0.9283722639083862,0.005904240533709526,0.37160003185272217,2
1620730210.699397,-45.997161865234375,211.3497772216797,1204.026123046875,-716.8215942382812,-131.57046508789062,-412.4805908203125,0.707253098487854,223.6298828125,0.05375203862786293,0.0018580658361315727,-0.9283722639083862,0.005904240533709526,0.37160003185272217,2
1620730210.7238383,-46.1890869140625,211.3447723388672,1203.825927734375,-716.610595703125,-131.5607147216797,-412.6603088378906,0.7197452187538147,223.57147216796875,0.05418895557522774,0.0018919752910733223,-0.9285609722137451,0.006007827818393707,0.371126651763916,2
1620730210.7352939,-46.3819580078125,211.3397216796875,1203.6241455078125,-716.39794921875,-131.5509490966797,-412.8409729003906,0.725922703742981,223.51284790039062,0.054383546113967896,0.0019073057919740677,-0.9287503957748413,0.006059492006897926,0.37065136432647705,2
1620730210.7467148,-46.575836181640625,211.33450317382812,1203.4208984375,-716.1837768554688,-131.541259765625,-413.02252197265625,0.7259954810142517,223.45384216308594,0.05474128574132919,0.0019015204161405563,-0.9289411306381226,0.0060622189193964005,0.37017303705215454,2
